match_id,date,stage,round,group,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral
HIST-00188,2018-05-28 00:00:00+00:00,historical,historical,,Turkey,Iran,2,1,Friendly,Istanbul,Turkey,False
HIST-00189,2018-05-28 00:00:00+00:00,historical,historical,,South Korea,Honduras,2,0,Friendly,Daegu,South Korea,False
HIST-00190,2018-05-28 00:00:00+00:00,historical,historical,,Bosnia and Herzegovina,Montenegro,0,0,Friendly,Zenica,Bosnia and Herzegovina,False
HIST-00191,2018-05-28 00:00:00+00:00,historical,historical,,Malawi,Mauritius,0,1,COSAFA Cup,Polokwane,South Africa,True
HIST-00192,2018-05-28 00:00:00+00:00,historical,historical,,Angola,Botswana,1,2,COSAFA Cup,Polokwane,South Africa,True
HIST-00193,2018-05-29 00:00:00+00:00,historical,historical,,Argentina,Haiti,4,0,Friendly,Buenos Aires,Argentina,False
HIST-00194,2018-05-29 00:00:00+00:00,historical,historical,,Albania,Kosovo,0,3,Friendly,Zürich,Switzerland,True
HIST-00195,2018-05-29 00:00:00+00:00,historical,historical,,Armenia,Malta,1,1,Friendly,Wattens,Austria,True
HIST-00196,2018-05-29 00:00:00+00:00,historical,historical,,Azerbaijan,Kyrgyzstan,3,0,Friendly,Baku,Azerbaijan,False
HIST-00197,2018-05-29 00:00:00+00:00,historical,historical,,Peru,Scotland,2,0,Friendly,Lima,Peru,False
HIST-00198,2018-05-29 00:00:00+00:00,historical,historical,,Panama,Northern Ireland,0,0,Friendly,Panama City,Panama,False
HIST-00199,2018-05-29 00:00:00+00:00,historical,historical,,Madagascar,Seychelles,1,1,COSAFA Cup,Polokwane,South Africa,True
HIST-00200,2018-05-29 00:00:00+00:00,historical,historical,,Comoros,Mozambique,0,3,COSAFA Cup,Polokwane,South Africa,True
HIST-00201,2018-05-30 00:00:00+00:00,historical,historical,,Japan,Ghana,0,2,Friendly,Yokohama,Japan,False
HIST-00202,2018-05-30 00:00:00+00:00,historical,historical,,Central African Republic,Uganda,1,0,Friendly,Niamey,Niger,True
HIST-00203,2018-05-30 00:00:00+00:00,historical,historical,,Austria,Russia,1,0,Friendly,Innsbruck,Austria,False
