player_id,team_id,matches,goals,shirt_number,debut,coach_id,debut_game_id,career_state
1007720,28164,1,0,0,,24972.0,4242132.0,FORMER_NATIONAL_PLAYER
1007720,53827,0,0,4,,,,CURRENT_NATIONAL_PLAYER
1007805,26471,8,1,9,,27781.0,4282214.0,FORMER_NATIONAL_PLAYER
1007805,31919,2,0,18,,34903.0,4573374.0,RECENT_NATIONAL_PLAYER
1007805,36495,8,3,16,,27781.0,4060752.0,FORMER_NATIONAL_PLAYER
1007805,38018,6,5,9,,21489.0,3784013.0,FORMER_NATIONAL_PLAYER
1008431,11946,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1008431,28437,0,0,0,,,,FORMER_NATIONAL_PLAYER
1008431,34700,3,0,13,,61445.0,4082669.0,FORMER_NATIONAL_PLAYER
1008431,51023,0,0,0,,,,FORMER_NATIONAL_PLAYER
1008440,25514,0,0,0,,,,FORMER_NATIONAL_PLAYER
1008440,28164,2,0,0,,61445.0,4357811.0,RECENT_NATIONAL_PLAYER
1008506,28437,0,0,0,,,,FORMER_NATIONAL_PLAYER
1008506,34700,3,0,16,,61445.0,4082669.0,FORMER_NATIONAL_PLAYER
1008506,47231,3,0,2,,103537.0,3966457.0,FORMER_NATIONAL_PLAYER
1008554,25514,0,0,0,,,,FORMER_NATIONAL_PLAYER
1008508,11946,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1008508,25514,10,0,15,,76250.0,3815218.0,FORMER_NATIONAL_PLAYER
1008564,16340,3,0,14,,36049.0,3926509.0,FORMER_NATIONAL_PLAYER
1008564,16341,2,0,0,,35427.0,4161577.0,FORMER_NATIONAL_PLAYER
1009029,25784,2,0,0,,9003.0,2388003.0,RECENT_NATIONAL_PLAYER
1009029,26031,2,0,0,,,2452593.0,FORMER_NATIONAL_PLAYER
1009029,37913,4,0,0,,,2445681.0,FORMER_NATIONAL_PLAYER
100910,3439,0,0,0,,,,FORMER_NATIONAL_PLAYER
1009205,28437,0,0,0,,,,FORMER_NATIONAL_PLAYER
1009439,5710,1,0,12,,51800.0,4715690.0,CURRENT_NATIONAL_PLAYER
1009439,9067,2,0,12,,22694.0,4438715.0,RECENT_NATIONAL_PLAYER
1009439,17368,4,0,12,,2314.0,3926562.0,FORMER_NATIONAL_PLAYER
1009439,17662,4,0,12,,2314.0,4174462.0,FORMER_NATIONAL_PLAYER
1009439,27300,1,0,1,,2314.0,3718972.0,FORMER_NATIONAL_PLAYER
